# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 171843223703
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                  IPC   [IPC Coverage]
# ........  ............  ............................................  ...........................................................................................  ....................
#
     0.11%             8  [.] put_io_u                                  /home/zebin/fio/io_u.c:814                                                                   -      -            
     0.11%             8  [.] get_file                                  /home/zebin/fio/filesetup.c:1888                                                             -      -            
     0.11%             8  [.] add_slat_sample                           /home/zebin/fio/stat.c:2837                                                                  -      -            
     0.11%             8  [.] get_io_u                                  /home/zebin/fio/io_u.c:911                                                                   -      -            
     0.11%             8  [.] ntime_since                               /home/zebin/fio/gettime.c:437                                                                -      -            
     0.11%             8  [.] add_lat_sample                            /home/zebin/fio/stat.c:2842                                                                  -      -            
     0.11%             8  [.] lock_file                                 /home/zebin/fio/filesetup.c:1930                                                             -      -            
     0.10%             7  [.] get_io_u                                  /home/zebin/fio/io_u.c:1733                                                                  -      -            
     0.10%             7  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1187                         -      -            
     0.10%             7  [.] td_io_queue                               /home/zebin/fio/ioengines.c:382                                                              -      -            
     0.10%             7  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1113                         -      -            
     0.10%             7  [.] add_lat_sample                            /home/zebin/fio/stat.c:3396                                                                  -      -            
     0.10%             7  [.] fio_gettime                               /home/zebin/fio/gettime.c:224                                                                -      -            
     0.10%             7  [.] td_io_prep                                /home/zebin/fio/ioengines.c:281                                                              -      -            
     0.10%             7  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:267                                  -      -            
     0.10%             7  [.] __get_next_rand_offset.constprop.0        /home/zebin/fio/os/../lib/rand.h:71                                                          -      -            
     0.10%             7  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:706                                    -      -            
     0.10%             7  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:205                                  -      -            
     0.10%             7  [.] nvme_qpair_submit_request                 /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:1014                                         -      -            
     0.10%             7  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:838                                    -      -            
     0.10%             7  [.] add_clat_sample                           /home/zebin/fio/stat.c:3272                                                                  -      -            
     0.10%             7  [.] thread_main                               /home/zebin/fio/backend.c:1057                                                               -      -            
     0.10%             7  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:960                          -      -            
     0.10%             7  [.] add_clat_sample                           /home/zebin/fio/stat.c:2837                                                                  -      -            
     0.10%             7  [.] put_io_u                                  /home/zebin/fio/fio.h:832                                                                    -      -            
     0.10%             7  [.] add_clat_sample                           /home/zebin/fio/stat.c:3352                                                                  -      -            
     0.10%             7  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:712                                          -      -            
     0.08%             6  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:906                                    -      -            
     0.08%             6  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1248                                   -      -            
     0.08%             6  [.] get_io_u                                  /home/zebin/fio/io_u.c:1270                                                                  -      -            
     0.08%             6  [.] 0x0000000000040bb0                        spdk_nvme[40bb0]                                                                             -      -            
     0.08%             6  [.] thread_main                               /home/zebin/fio/backend.c:340                                                                -      -            
     0.08%             6  [.] add_clat_sample                           /home/zebin/fio/stat.c:2844                                                                  -      -            
     0.08%             6  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:166                                         -      -            
     0.08%             6  [.] thread_main                               /home/zebin/fio/backend.c:338                                                                -      -            
     0.08%             6  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:324                                                              -      -            
     0.08%             6  [.] io_completed                              /home/zebin/fio/io_u.c:2031                                                                  -      -            
     0.08%             6  [.] io_completed                              /home/zebin/fio/io_u.c:2035                                                                  -      -            
     0.08%             6  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2125                                                                  -      -            
     0.08%             6  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:954                          -      -            
     0.08%             6  [.] ntime_since                               /home/zebin/fio/gettime.c:438                                                                -      -            
     0.08%             6  [.] io_u_mark_depth                           /home/zebin/fio/io_u.c:1020                                                                  -      -            
     0.08%             6  [.] lock_file                                 /home/zebin/fio/filesetup.c:1931                                                             -      -            
     0.08%             6  [.] __fio_gettime                             /home/zebin/fio/gettime.c:160                                                                -      -            
     0.08%             6  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:925                                    -      -            
     0.08%             6  [.] thread_main                               /home/zebin/fio/backend.c:1106                                                               -      -            
     0.08%             6  [.] td_io_queue                               /home/zebin/fio/ioengines.c:438                                                              -      -            
     0.08%             6  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:605                                      -      -            
     0.08%             6  [.] account_io_completion                     /home/zebin/fio/io_u.c:1929                                                                  -      -            
     0.08%             6  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:670                                    -      -            
     0.08%             6  [.] td_io_prep                                /home/zebin/fio/ioengines.c:264                                                              -      -            
     0.08%             6  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:1503                                         -      -            
     0.08%             6  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:295                                                              -      -            
     0.08%             6  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:274                          -      -            
     0.07%             5  [.] add_lat_sample                            /home/zebin/fio/stat.c:3416                                                                  -      -            
